barangay_id,university_id,barangay_name,university_name,distance_km,commute_time_mins
10,17,Casanfernandoan,Univeristy of the Philippines - Open University,205.75,172.1
10,18,Casanfernandoan,Polytechnic University of the Philippines - Manila,206.84,173.5
10,19,Casanfernandoan,Lyceum-Northwestern University,22.68,37.0
10,20,Casanfernandoan,Pangasinan Polytechnic College,37.97,59.2
11,1,Castaño,University of Eastern Pangasinan,17.08,23.2
11,2,Castaño,Urdaneta City University,27.36,30.4
11,3,Castaño,Pangasinan State University - Urdaneta City,25.0,27.8
11,4,Castaño,Pangasinan State University - Asingan,33.34,37.7
11,5,Castaño,DMMMSU – South La Union Campus (SLUC),38.55,49.7
11,6,Castaño,DMMMSU – Mid La Union Campus (MLUC),70.34,93.8
11,7,Castaño,Benguet State University - La Trinidad,72.08,103.3
11,8,Castaño,Central Luzon State University,96.06,93.1
11,9,Castaño,Tarlac State University - Tarlac,85.74,77.3
11,10,Castaño,Pangasinan State University - Lingayen,38.09,62.8
11,11,Castaño,Pangasinan State University - Bayambang,45.22,64.9
11,12,Castaño,Saint Louis University - Baguio,67.78,95.0
11,13,Castaño,University of the Philippines - Baguio,48.48,62.9
11,14,Castaño,University of Pangasinan - PHINMA,21.14,36.6
11,15,Castaño,University of the Philippines - Diliman,206.33,175.5
11,16,Castaño,University of the Philippines - Manila,207.95,179.1
11,17,Castaño,Univeristy of the Philippines - Open University,205.76,174.0
11,18,Castaño,Polytechnic University of the Philippines - Manila,206.85,175.4
11,19,Castaño,Lyceum-Northwestern University,23.06,40.8
11,20,Castaño,Pangasinan Polytechnic College,38.35,63.0
12,1,Dilan,University of Eastern Pangasinan,11.98,15.6
12,2,Dilan,Urdaneta City University,20.37,22.1
12,3,Dilan,Pangasinan State University - Urdaneta City,18.01,19.5
12,4,Dilan,Pangasinan State University - Asingan,26.36,29.4
12,5,Dilan,DMMMSU – South La Union Campus (SLUC),40.02,50.9
12,6,Dilan,DMMMSU – Mid La Union Campus (MLUC),71.8,95.1
12,7,Dilan,Benguet State University - La Trinidad,73.55,104.5
12,8,Dilan,Central Luzon State University,88.88,86.1
12,9,Dilan,Tarlac State University - Tarlac,78.57,70.3
12,10,Dilan,Pangasinan State University - Lingayen,37.76,60.0
12,11,Dilan,Pangasinan State University - Bayambang,42.3,61.6
12,12,Dilan,Saint Louis University - Baguio,69.25,96.3
12,13,Dilan,University of the Philippines - Baguio,49.95,64.2
12,14,Dilan,University of Pangasinan - PHINMA,20.8,33.8
12,15,Dilan,University of the Philippines - Diliman,199.15,168.4
12,16,Dilan,University of the Philippines - Manila,200.78,172.1
12,17,Dilan,Univeristy of the Philippines - Open University,198.58,167.0
12,18,Dilan,Polytechnic University of the Philippines - Manila,199.67,168.4
12,19,Dilan,Lyceum-Northwestern University,22.73,38.0
12,20,Dilan,Pangasinan Polytechnic College,38.02,60.2
13,1,Don Benito,University of Eastern Pangasinan,16.23,21.6
13,2,Don Benito,Urdaneta City University,25.63,27.7
13,3,Don Benito,Pangasinan State University - Urdaneta City,23.27,25.1
13,4,Don Benito,Pangasinan State University - Asingan,31.62,35.0
13,5,Don Benito,DMMMSU – South La Union Campus (SLUC),33.6,44.3
13,6,Don Benito,DMMMSU – Mid La Union Campus (MLUC),65.38,88.4
13,7,Don Benito,Benguet State University - La Trinidad,67.36,99.1
13,8,Don Benito,Central Luzon State University,94.33,90.5
13,9,Don Benito,Tarlac State University - Tarlac,84.02,74.7
13,10,Don Benito,Pangasinan State University - Lingayen,41.29,65.4
13,11,Don Benito,Pangasinan State University - Bayambang,48.42,67.5
13,12,Don Benito,Saint Louis University - Baguio,63.06,90.8
13,13,Don Benito,University of the Philippines - Baguio,43.52,57.5
