barangay_id,university_id,barangay_name,university_name,distance_km,commute_time_mins,distance_km_mid,economic_constraint,tuition_estimate,annual_transport_cost_php,total_annual_burden_php,affordability_at_tier_1,affordability_at_tier_2,affordability_at_tier_3,affordability_at_tier_4,affordability_at_tier_5
33,9,Tulnac,Tarlac State University - Tarlac,81.52,73.1,45.0,1,10000,73368.0,83368.0,False,False,False,False,True
33,10,Tulnac,Pangasinan State University - Lingayen,40.08,64.3,55.0,1,10000,36071.99999999999,46071.99999999999,False,False,True,True,True
33,11,Tulnac,Pangasinan State University - Bayambang,50.7,63.1,55.0,1,10000,45630.0,55630.0,False,False,False,False,True
33,12,Tulnac,Saint Louis University - Baguio,67.69,92.4,55.0,3,60000,60921.0,120921.0,False,False,False,False,False
33,13,Tulnac,University of the Philippines - Baguio,48.38,60.2,55.0,1,10000,43542.0,53542.0,False,False,False,True,True
33,14,Tulnac,University of Pangasinan - PHINMA,23.12,38.2,55.0,3,60000,20808.0,80808.0,False,False,False,False,True
33,15,Tulnac,University of the Philippines - Diliman,202.1,171.2,220.0,1,10000,181890.0,191890.0,False,False,False,False,False
33,16,Tulnac,University of the Philippines - Manila,203.73,174.8,220.0,1,10000,183357.0,193357.0,False,False,False,False,False
33,17,Tulnac,Univeristy of the Philippines - Open University,201.53,169.8,220.0,1,10000,181377.0,191377.0,False,False,False,False,False
33,18,Tulnac,Polytechnic University of the Philippines - Manila,202.62,171.1,220.0,1,10000,182358.0,192358.0,False,False,False,False,False
33,19,Tulnac,Lyceum-Northwestern University,25.05,42.3,55.0,3,60000,22545.0,82545.0,False,False,False,False,True
33,20,Tulnac,Pangasinan Polytechnic College,40.34,64.6,85.0,2,25000,36306.0,61306.0,False,False,False,False,True
34,1,Villegas,University of Eastern Pangasinan,10.12,12.5,15.0,2,25000,9107.999999999998,34108.0,True,True,True,True,True
34,2,Villegas,Urdaneta City University,19.49,20.3,25.0,2,25000,17540.999999999996,42541.0,False,False,True,True,True
34,3,Villegas,Pangasinan State University - Urdaneta City,17.13,17.7,35.0,1,10000,15416.999999999998,25417.0,True,True,True,True,True
34,4,Villegas,Pangasinan State University - Asingan,25.48,27.6,40.0,1,10000,22932.0,32932.0,True,True,True,True,True
34,5,Villegas,DMMMSU – South La Union Campus (SLUC),37.56,46.1,75.0,1,10000,33804.0,43804.0,False,False,True,True,True
34,6,Villegas,DMMMSU – Mid La Union Campus (MLUC),69.34,90.3,55.0,1,10000,62406.00000000001,72406.0,False,False,False,False,True
34,7,Villegas,Benguet State University - La Trinidad,71.09,99.7,95.0,1,10000,63981.00000000001,73981.0,False,False,False,False,True
34,8,Villegas,Central Luzon State University,89.68,85.9,85.0,1,10000,80712.0,90712.0,False,False,False,False,False
34,9,Villegas,Tarlac State University - Tarlac,79.37,70.1,45.0,1,10000,71433.0,81433.0,False,False,False,False,True
34,10,Villegas,Pangasinan State University - Lingayen,59.9,70.7,55.0,1,10000,53910.0,63910.0,False,False,False,False,True
34,11,Villegas,Pangasinan State University - Bayambang,48.55,60.1,55.0,1,10000,43695.0,53695.0,False,False,False,True,True
34,12,Villegas,Saint Louis University - Baguio,66.79,91.5,55.0,3,60000,60111.00000000001,120111.0,False,False,False,False,False
34,13,Villegas,University of the Philippines - Baguio,47.48,59.3,55.0,1,10000,42731.99999999999,52731.99999999999,False,False,False,True,True
34,14,Villegas,University of Pangasinan - PHINMA,27.76,46.3,55.0,3,60000,24984.000000000004,84984.0,False,False,False,False,True
34,15,Villegas,University of the Philippines - Diliman,199.95,168.2,220.0,1,10000,179955.0,189955.0,False,False,False,False,False
34,16,Villegas,University of the Philippines - Manila,201.58,171.8,220.0,1,10000,181422.00000000003,191422.00000000003,False,False,False,False,False
34,17,Villegas,Univeristy of the Philippines - Open University,199.38,166.8,220.0,1,10000,179442.0,189442.0,False,False,False,False,False
34,18,Villegas,Polytechnic University of the Philippines - Manila,200.47,168.1,220.0,1,10000,180423.0,190423.0,False,False,False,False,False
34,19,Villegas,Lyceum-Northwestern University,29.69,50.5,55.0,3,60000,26721.000000000004,86721.0,False,False,False,False,True
34,20,Villegas,Pangasinan Polytechnic College,60.17,70.9,85.0,2,25000,54153.00000000001,79153.0,False,False,False,False,True
